"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"United Kingdom (UK)","02.01.2023 10:00 - 02.01.2023 10:30 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","156"
"United Kingdom (UK)","02.01.2023 10:30 - 02.01.2023 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","224","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","151"
"United Kingdom (UK)","02.01.2023 11:00 - 02.01.2023 11:30 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","174"
"United Kingdom (UK)","02.01.2023 11:30 - 02.01.2023 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","212","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","205"
"United Kingdom (UK)","02.01.2023 12:00 - 02.01.2023 12:30 (CET/CEST)","n/e","n/e","n/e","n/e","217","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","218"
"United Kingdom (UK)","02.01.2023 12:30 - 02.01.2023 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","224","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","231"
"United Kingdom (UK)","02.01.2023 13:00 - 02.01.2023 13:30 (CET/CEST)","n/e","n/e","n/e","n/e","219","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","243"
"United Kingdom (UK)","02.01.2023 13:30 - 02.01.2023 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","217","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","245"
"United Kingdom (UK)","02.01.2023 14:00 - 02.01.2023 14:30 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","283"
"United Kingdom (UK)","02.01.2023 14:30 - 02.01.2023 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","214","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","279"
